Term,ID,Definition,Term Type,Related Terms,Related To,Example
Inclusion,inclusion,"The experience or act of being welcomed, seen, and valued in a social, relational, or institutional setting.",trait_descriptor,"Acceptance,Integration,Social Belonging","psychological_safety,social_dynamics",
Conflict,conflict,"A state of friction or opposition between needs, values, or roles — internally or interpersonally. Can arise from suppression, role misfit, or group tension.",trait_descriptor,"disagreement,dissonance,tension","misalignment,group_tension,identity_conflict",
Power Struggle,power_struggle,"A competitive dynamic where individuals or groups vie for control, dominance, or influence — often at the cost of alignment or psychological safety.",trait_descriptor,"Hierarchy Clash,Control Battle,Social Dominance","group_tension,social_dynamics,misalignment",
Social Friction,social_friction,"Ongoing tension in relational fields caused by unspoken norms, misattunement, or boundary violations.",trait_descriptor,"Group Tension,Interpersonal Stress,Misalignment Heat","connection_mode,psychological_safety,social_dynamics",
Inhibition,inhibition,"The subconscious or conscious restraint of natural expression, often as a protective adaptation. A common symptom of suppression and misalignment.",trait_descriptor,"resistance,holding_back,self_censorship","suppression,misalignment,emotional_load",
Repression,repression,"A deeper form of inhibition in which emotional or trait expression is unconsciously blocked. May lead to energetic distortion, illness, or misalignment crisis.",trait_descriptor,"denial,emotional_suppression,trait_suppression","suppression,emotional_residue",
Trait Distortion,trait_distortion,"When a trait expresses in a twisted or exaggerated form due to suppression, overuse, drive conflict, or environmental misfit.",concept,"overexpression,compensation,coming_out_sideways","misalignment,drive,trait_expression,suppression",
Dedication,dedication,"A sustained, wholehearted commitment to a task, relationship, or path. Reflects focus, loyalty, and alignment over time — especially when effort is required.",trait_descriptor,"commitment,devotion,discipline","mastery_mode,alignment_stability,purpose_alignment",
Loyalty,loyalty,"A deep emotional or moral attachment to a person, group, or ideal that drives consistent support or protection. Often connected to identity, belonging, and value alignment.",trait_descriptor,"Allegiance,Devotion,Faithfulness","belonging,group_participation,emotional_load",
Follow-Through,follow_through,"The ability to complete tasks, promises, or intentions consistently. It reflects alignment between intention and sustained action.",trait_descriptor,"Execution,Reliability,Consistency","mastery_mode,conscientiousness,alignment_stability",
Motivation,motivation,"The energetic or emotional impulse to act, engage, or pursue a goal. May arise from internal alignment (intrinsic) or external pressures (extrinsic).",concept,"drive,activation,incentive","drive,trait_expression,purpose",
Impulse,impulse,"A sudden urge to act or react without prior thought or regulation. Impulses can reflect instinctual energy, drive, or dysregulation.",trait_descriptor,"Reactivity,Spontaneity,Compulsion","stimulation,emotional_fluence,regulation",
Trait Amplification,trait_amplification,"The magnification of a trait’s expression — either due to alignment (supportive environment, drive coherence) or distortion (suppression, overcompensation).",concept,"Trait Overexpression,Drive Interaction,Trait Surge","trait_expression,drive,suppression",
Awareness,awareness,"The conscious recognition of one’s internal state, behavior, context, or alignment. Awareness is foundational to self-regulation and adaptive response.",trait_descriptor,"mindfulness,consciousness,observation","presence_mode,alignment_intelligence,reflection",
Attunement,attunement,"The ability to sense, interpret, and resonate with the emotional, energetic, or relational field — internally or in others. Supports empathy, connection, and regulation.",trait_descriptor,"sensitivity,resonance,receptivity","connection_mode,interpersonal_intelligence,awareness",
Tension,tension,"A physical or emotional state of constriction, often caused by suppression, misalignment, or anticipation. Tension can signal suppressed traits or unreleased energy.",trait_descriptor,"pressure,rigidity,strain","somatic_load,emotional_load,misalignment",
Fatigue,fatigue,"A depletion of energy — physical, cognitive, or emotional — that diminishes the capacity for engagement or expression. Signals overuse or under-recovery.",trait_descriptor,"Exhaustion,Trait Depletion,Burnout","energy_reserves,suppression,trait_expression",
Expectation,expectation,"A belief or assumption about what should happen, often projected by others or oneself. Expectations shape pressure, misalignment, and performance anxiety.",concept,"obligation,demand,assumption","role_clarity,pressure,suppression",
Load,load,"The cumulative cognitive, emotional, or physical burden a person is carrying. Load impacts trait access, regulation, and misalignment likelihood.",trait_descriptor,"weight,burden,pressure","emotional_load,cognitive_bandwidth,somatic_load",
Stress,stress,"A physiological and psychological response to perceived demands, misfit, or threat. Prolonged stress suppresses traits and narrows perception.",concept,"Pressure,Overwhelm,Reactivity","misalignment,emotional_load,regulation",
Overload,overload,"A state in which incoming demands exceed available processing or energetic capacity. Results in fragmentation, shutdown, or reactive behavior.",trait_descriptor,"Cognitive Overload,Sensory Flooding,Breakdown","misalignment,stress,trait_depletion",
Urgency,urgency,"A heightened pressure to act quickly, often triggered by time constraints or fear of loss. Urgency may catalyze action or distort trait access under compression.",trait_descriptor,"Time Pressure,Acceleration,Reactivity","time_availability,realization_mode,misalignment",
Overexpression,overexpression,"The exaggerated or inflated activation of a trait, often due to internal misalignment, compensation, or drive overload. Overexpression distorts the natural rhythm or scale of trait behavior, creating energetic imbalance or relational friction.",concept,"Trait Amplification,Trait Distortion,Excessive Output","trait_expression,suppression,misalignment",
Compensation,compensation,"The use of a secondary trait or behavior to cover for, replace, or over-activate in place of a suppressed or unavailable trait. Compensation can maintain function but often leads to distortion or energetic cost.",concept,"Substitution,Trait Tradeoff,Workaround","suppression,trait_distortion,trait_expression",
Denial,denial,"The unconscious or willful rejection of an internal truth, trait, or emotional experience. Denial prevents alignment by blocking authentic self-awareness and suppressing internal signals.",trait_descriptor,"Avoidance,Repression,Disconnection","misalignment,emotional_load,trait_suppression",
Emotional Suppression,emotional_suppression,"The conscious or unconscious inhibition of emotional expression — often in service of perceived safety, control, or acceptance. Suppresses alignment and reduces energetic flow.",trait_descriptor,"Repression,Denial,Holding Back,Trait Suppression","suppression,emotional_load,presence_mode",
Holding Back,holding_back,"The active restraint of trait or emotional expression in a moment of perceived risk, discomfort, or self-judgment. Often driven by fear, perfectionism, or relational anxiety.",trait_descriptor,"Self-Censorship,Hesitation,Trait Inhibition","suppression,misalignment",
Resistance,resistance,"An inner energetic pushback against trait expression, change, or emotional emergence. Resistance often shows up as tension, delay, or avoidance in response to real or imagined threat.",trait_descriptor,"Holding Back,Defensiveness,Inertia","suppression,emotional_residue,misalignment",
Self-Censorship,self_censorship,"The deliberate editing or withholding of one’s thoughts, feelings, or trait impulses in order to conform, avoid conflict, or manage others’ perceptions. Often tied to belonging or performance pressure.",trait_descriptor,"Inhibition,Holding Back,Social Filtering","suppression,group_tension,psychological_safety",
Weight,weight,"A felt sense of heaviness — physical, emotional, or psychological — often resulting from accumulated load, unresolved tension, or suppressed expression.",trait_descriptor,"Burden,Load,Heaviness","emotional_load,somatic_load,misalignment",
Burden,burden,The perception of a demand or responsibility that strains one’s energy or sense of freedom. Often experienced as chronic pressure or emotional fatigue.,trait_descriptor,"Obligation,Weight,Emotional Load","suppression,misalignment,time_availability",
Assumption,assumption,An unexamined belief or expectation that influences perception and behavior. Assumptions can lead to misalignment when left unconscious or rigid.,trait_descriptor,"Belief,Expectation,Projection","misalignment,task_confusion,expectation_ambiguity",
Rigidity,rigidity,"A tendency toward fixed thought patterns, emotional states, or behaviors that resist change, adaptation, or flow. Can block trait flexibility and alignment.",trait_descriptor,"Inflexibility,Control,Resistance","misalignment,discovery_mode_underactive,suppression",
Resonance,resonance,"A felt or intuitive alignment between internal states and external experiences. Resonance signals coherence, clarity, or trait engagement.",trait_descriptor,"Harmony,Vibration,Energetic Fit","flow,inner_alignment,connection_mode",
Mindfulness,mindfulness,"The practice of consciously attending to the present moment without judgment. Enhances awareness, regulation, and alignment potential.",trait_descriptor,"Awareness,Presence,Stillness","presence_mode,alignment_intelligence,reflection",
Consciousness,consciousness,"The state of being aware of internal and external experience — including thoughts, feelings, sensations, and dynamics. Foundational for self-regulation and flow.",concept,"Awareness,Sentience,Mindfulness","alignment_intelligence,observation",
Observation,observation,The act of attending to reality with presence and clarity — both internally and externally. Observation supports awareness and interrupts unconscious patterning.,trait_descriptor,"Mindfulness,Perception,Witnessing","presence_mode,reflection,awareness",
Activation,activation,"The energetic or emotional ignition of a trait, behavior, or motivation. Can occur naturally or be prompted by drives, triggers, or context.",concept,"Ignition,Motivation,Trait Expression","trait_expression,drive,misalignment",
Incentive,incentive,"A motivator — internal or external — that encourages engagement, effort, or goal pursuit. Incentives shape how and why traits activate.",concept,"Reward,Drive,Motivation","motivation,trait_expression,task_relevance",
Devotion,devotion,"A deep, often spiritual or emotional commitment to a person, cause, or path. Differs from discipline by being driven more by love than structure.",trait_descriptor,"Loyalty,Dedication,Sacred Commitment","purpose_alignment,belonging,alignment_stability",
Coming Out Sideways,coming_out_sideways,"A metaphorical expression describing the indirect or distorted emergence of a suppressed trait — often through passive aggression, misfiring, or displaced emotion.",concept (metaphor),"Mischanneling,Trait Leakage,Distortion","trait_distortion,suppression,group_tension",
Disagreement,disagreement,"A divergence in opinion, perception, or interpretation that may challenge belonging, safety, or identity. Can become conflict if not acknowledged and navigated.",trait_descriptor,"Divergence,Debate,Tension","conflict,psychological_safety,misalignment",
Dissonance,dissonance,"A felt internal or relational contradiction between beliefs, values, or actions. Signals misalignment and prompts re-examination or recalibration.",trait_descriptor,"Internal Conflict,Misfit,Cognitive Dissonance","misalignment,identity_conflict,realization_mode",
Faith,faith,"A belief or trust in something larger than oneself — a person, path, principle, or unfolding — even in the absence of certainty. Anchors energy in chaos or fear.",trait_descriptor,"Trust,Surrender,Devotion","purpose_alignment,stillness",
Emotional Security,emotional_security,"The sense of being emotionally safe, seen, and supported — within oneself or in relationship. Enables authenticity and trait expression.",trait_descriptor,"Psychological Safety,Inner Stability,Vulnerability","connection_mode,group_participation,healing_nature",
Overuse,overuse,"The repeated or excessive activation of a trait beyond its healthy range. Can lead to burnout, distortion, or compensation. Often masked as dedication.",concept,"Trait Depletion,Overextension,Exhaustion","trait_expression,burnout,trait_amplification",
Self-Determination,self_determination,"The ability and motivation to direct one’s behavior and life path based on one’s own values and nature. Core to autonomy, motivation, and long-term alignment.",trait_descriptor,"Autonomy,Agency,Purpose","autonomy,mastery_mode,alignment_intelligence",
Freedom,freedom,"The drive to act, move, or express without external control or limitation. When aligned, it supports autonomy and creativity; when distorted, it can suppress structure.",drive,"Autonomy,Self-Determination,Independence","drive,purpose,adventurous_nature,alignment_dynamics",
Structure,structure,"A framework or organizing principle that provides order, clarity, and predictability to tasks, relationships, or environments. Supports trait expression and focus.",trait_descriptor,"Organization,Planning,Framework","administrative_nature,mastery_mode,environmental_stability",
Coordination,coordination,"The ability to harmonize people, tasks, or moving parts — cognitively or physically — toward a shared goal or pattern.",trait_descriptor,"Organization,Timing,Synchronization","administrative_nature,group_participation,physical_intelligence",
Preparation,preparation,"The act of getting ready for future tasks or events by organizing resources, strategies, or attention. Strengthens alignment and reduces reactive patterns.",trait_descriptor,"Planning,Readiness,Anticipation","mastery_mode,foresight,environmental_stability",
Contingency,contingency,"A backup plan or alternate pathway designed for possible failure or disruption. Reflects foresight, responsibility, and flexibility under uncertainty.",trait_descriptor,"Backup,Redundancy,Risk Planning","preparation,foresight,alignment_stability",
Honor,honor,"The alignment between one’s actions and one’s values, often guided by integrity, dignity, and respect for self and others.",trait_descriptor,"Integrity,Duty,Devotion","integrity,purpose_alignment,protective_nature",
Heroism,heroism,"A behavior or stance characterized by courageous, often self-sacrificing action for the benefit of others or a greater cause.",trait_descriptor,"Bravery,Valor,Altruism","courage,adventurous_nature,healing_nature",
Adventure,adventure,"A pattern of engaging the unknown, the risky, or the unfamiliar with excitement and openness. Balances exploration and daring with flexibility.",trait_descriptor,"Risk-Taking,Exploration,Novelty-Seeking","adventurous_nature,freedom,discovery_mode",
Defense,defense,"The action or mindset of protecting against perceived threat, harm, or misalignment. Can be protective or reactive depending on clarity and regulation.",trait_descriptor,"Protection,Reactivity,Boundary Enforcement","protective_nature,fear,suppression",
Guarding,guarding,A cautious or vigilant stance that monitors for risk and keeps energetic or relational boundaries intact. Can be protective or overactive depending on context.,trait_descriptor,"Defense,Hypervigilance,Boundary Holding","protective_nature,misalignment,psychological_safety",
Calming,calming,"The ability or effect of reducing stress, tension, or emotional reactivity — within oneself or others. Supports regulation and return to alignment.",trait_descriptor,"Soothing,Regulation,Deactivation","emotional_load,regulation,presence_mode",
Flow,flow,"A state of immersive, focused engagement in which actions feel fluid, time disappears, and energy is well-utilized. Indicates alignment of traits, drives, and context.",concept,"Ease,Presence,Coherence,Momentum","alignment_dynamics,realization_mode,mastery_mode",
Grace,grace,"A quality of fluid, refined expression that feels effortless, attuned, and aligned. Often emerges when traits are fully integrated and context is receptive.",trait_descriptor,"Flow,Elegance,Precision,Embodied Ease","mastery_mode,alignment_stability,presence_mode",
Initiative,initiative,The impulse or ability to act without being prompted — based on internal clarity or alignment. Drives forward motion and transformation.,trait_descriptor,"Self-Direction,Motivation,Proactivity","self_determination,purpose,realization_mode",
Control,control,"The desire or effort to manage, direct, or constrain outcomes — internally or externally. Can stabilize or suppress depending on alignment and flexibility.",trait_descriptor,"Authority,Regulation,Overcontrol","autonomy,suppression,misalignment,resistance",
Empowerment,empowerment,A state in which a person feels internally authorized and capable of taking meaningful action aligned with their nature and values.,trait_descriptor,"Agency,Self-Determination,Confidence","autonomy,alignment_intelligence,freedom",
Analysis,analysis,"The cognitive process of breaking complex information or experiences into smaller parts to identify structure, causality, or relationships.",trait_descriptor,"Deconstruction,Examination,Critical Thinking","logical-mathematical_intelligence,discovery_mode",
Reasoning,reasoning,"The structured mental activity of drawing inferences, conclusions, or judgments based on logic, pattern recognition, or comparison.",trait_descriptor,"Deduction,Judgment,Analytical Thinking","analysis,logical-mathematical_intelligence,strategic_thinking",
Judgment,judgment,"The act of forming an evaluation, decision, or opinion — often involving discernment between competing options or moral frameworks.",trait_descriptor,"reasoning,evaluation,discrimination","reasoning,misalignment",
Withdrawal,withdrawal,"A retreat from external engagement — emotionally, socially, or cognitively — often due to suppression, overwhelm, or misalignment.",trait_descriptor,"Retreat,Avoidance,Disengagement","misalignment,suppression,group_tension",
Groundedness,groundedness,"A felt state of being physically, emotionally, and energetically present and stable. Supports regulation, awareness, and aligned action.",trait_descriptor,"Centeredness,Stability,Embodiment","presence_mode,alignment_stability,regulation",
Hearing,hearing,"The literal and metaphorical act of receiving sound, input, or feedback. Distinguished from listening by its passive or mechanical quality.",trait_descriptor,"listening,receptivity,attention","interpersonal_intelligence,awareness,presence_mode",
Instability,instability,"A lack of consistency, predictability, or regulation — in emotion, thought, or behavior. Often signals misalignment or excessive external pressure.",trait_descriptor,"volatility,reactivity,uncertainty","misalignment,environmental_stability,emotional_load",
Calmness,calmness,"A regulated, low-arousal state characterized by emotional balance, nervous system ease, and non-reactivity. Enables alignment and re-engagement.",trait_descriptor,"stillness,ease,relaxation","regulation,presence_mode,emotional_fluence",
Tenderness,tenderness,"A soft, sensitive, and emotionally open orientation — often expressed through gentle words, actions, or presence.",trait_descriptor,"gentleness,warmth,affection","healing_nature,psychological_safety",
Emotional Closeness,emotional_closeness,"A state of relational intimacy where emotional truths are shared, felt, and mutually held. Supports connection, safety, and alignment through attunement.",trait_descriptor,"Vulnerability,Tenderness,Intimacy","connection_mode,psychological_safety,group_participation",
Self-Control,self_control,"The ability to regulate impulses, emotions, and behaviors in service of long-term values, context-appropriate action, or conscious restraint.",trait_descriptor,"Regulation,Willpower,Discipline","mastery_mode,alignment_intelligence",
,evaluation,,,,,
,discrimination,,,,,
,uncertainty,,,,,
,relaxation,,,,,
